antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Doom Whisperer', 'Sinister Sabotage'})",frozenset({'Disinformation Campaign'}),0.017429193899782137,0.026870007262164125,0.017429193899782137,1.0,37.21621621621622,0.016960871333121325,inf
frozenset({'Disinformation Campaign'}),"frozenset({'Dead Weight', 'Sinister Sabotage'})",0.026870007262164125,0.010167029774872912,0.010167029774872912,0.37837837837837834,37.21621621621622,0.009893841610987438,1.592339995579552
frozenset({'Disinformation Campaign'}),"frozenset({'Doom Whisperer', 'Sinister Sabotage'})",0.026870007262164125,0.017429193899782137,0.017429193899782137,0.6486486486486487,37.21621621621622,0.016960871333121325,2.7965476789006205
"frozenset({'Dead Weight', 'Sinister Sabotage'})",frozenset({'Disinformation Campaign'}),0.010167029774872912,0.026870007262164125,0.010167029774872912,1.0,37.21621621621622,0.009893841610987438,inf
frozenset({'Disinformation Campaign'}),"frozenset({'Discovery', 'Doom Whisperer'})",0.026870007262164125,0.015250544662309368,0.014524328249818447,0.5405405405405406,35.44401544401545,0.014114546003990236,2.143278226323209
"frozenset({'Discovery', 'Doom Whisperer'})",frozenset({'Disinformation Campaign'}),0.015250544662309368,0.026870007262164125,0.014524328249818447,0.9523809523809524,35.44401544401545,0.014114546003990236,20.435729847494578
"frozenset({'Blood Operative', 'Ritual of Soot'})",frozenset({'Disinformation Campaign'}),0.013798111837327523,0.026870007262164125,0.013071895424836602,0.9473684210526316,35.257467994310105,0.012701140059563458,18.4894698620189
frozenset({'Disinformation Campaign'}),"frozenset({'Blood Operative', 'Ritual of Soot'})",0.026870007262164125,0.013798111837327523,0.013071895424836602,0.4864864864864865,35.257467994310105,0.012701140059563458,1.9204984137904677
"frozenset({'Dead Weight', 'Thought Erasure'})",frozenset({'Disinformation Campaign'}),0.011619462599854757,0.026870007262164125,0.010893246187363835,0.9375000000000001,34.89020270270271,0.010581031142923292,15.570079883805402
frozenset({'Disinformation Campaign'}),"frozenset({'Dead Weight', 'Thought Erasure'})",0.026870007262164125,0.011619462599854757,0.010893246187363835,0.40540540540540543,34.8902027027027,0.010581031142923292,1.66227635835479
"frozenset({'Discovery', 'Dream Eater'})",frozenset({'Disinformation Campaign'}),0.010893246187363835,0.026870007262164125,0.010167029774872912,0.9333333333333332,34.73513513513513,0.009874328170709904,14.596949891067517
frozenset({'Disinformation Campaign'}),"frozenset({'Discovery', 'Dream Eater'})",0.026870007262164125,0.010893246187363835,0.010167029774872912,0.37837837837837834,34.73513513513513,0.009874328170709904,1.5911717343942404
frozenset({'Disinformation Campaign'}),"frozenset({'Discovery', 'Ritual of Soot'})",0.026870007262164125,0.017429193899782137,0.015250544662309368,0.5675675675675675,32.564189189189186,0.014782222095648556,2.2721949891067537
"frozenset({'Discovery', 'Ritual of Soot'})",frozenset({'Disinformation Campaign'}),0.017429193899782137,0.026870007262164125,0.015250544662309368,0.8749999999999999,32.564189189189186,0.014782222095648556,7.78503994190268
frozenset({'Disinformation Campaign'}),"frozenset({'Thought Erasure', 'Doom Whisperer'})",0.026870007262164125,0.027596223674655047,0.023965141612200435,0.8918918918918919,32.319345661450924,0.023223630881654148,8.99473493100944
"frozenset({'Thought Erasure', 'Doom Whisperer'})",frozenset({'Disinformation Campaign'}),0.027596223674655047,0.026870007262164125,0.023965141612200435,0.868421052631579,32.319345661450924,0.023223630881654148,7.395787944807554
"frozenset({'Blood Operative', 'Disdainful Stroke'})",frozenset({'Disinformation Campaign'}),0.014524328249818447,0.026870007262164125,0.012345679012345678,0.8499999999999999,31.63378378378378,0.011955410206795001,6.4875332849189
frozenset({'Disinformation Campaign'}),"frozenset({'Blood Operative', 'Disdainful Stroke'})",0.026870007262164125,0.014524328249818447,0.012345679012345678,0.45945945945945943,31.63378378378378,0.011955410206795001,1.8231299927378357
"frozenset({'Blood Operative', 'Thief of Sanity'})",frozenset({'Disinformation Campaign'}),0.013798111837327523,0.026870007262164125,0.011619462599854757,0.8421052631578948,31.339971550497868,0.011248707234581613,6.163156620672963
frozenset({'Disinformation Campaign'}),"frozenset({'Blood Operative', 'Thief of Sanity'})",0.026870007262164125,0.013798111837327523,0.011619462599854757,0.43243243243243246,31.339971550497868,0.011248707234581613,1.7375938029532803
"frozenset({'Thought Erasure', 'Discovery'})",frozenset({'Disinformation Campaign'}),0.01815541031227306,0.026870007262164125,0.015250544662309368,0.84,31.26162162162162,0.014762708655371022,6.0820624546114725
frozenset({'Disinformation Campaign'}),"frozenset({'Thought Erasure', 'Discovery'})",0.026870007262164125,0.01815541031227306,0.015250544662309368,0.5675675675675675,31.261621621621618,0.014762708655371022,2.2705156136528686
frozenset({'Disinformation Campaign'}),"frozenset({'Discovery', 'Sinister Sabotage'})",0.026870007262164125,0.012345679012345678,0.010167029774872912,0.37837837837837834,30.64864864864865,0.009835301290154835,1.5888352120236175
"frozenset({'Discovery', 'Sinister Sabotage'})",frozenset({'Disinformation Campaign'}),0.012345679012345678,0.026870007262164125,0.010167029774872912,0.8235294117647058,30.648648648648646,0.009835301290154835,5.514403292181068
frozenset({'Disinformation Campaign'}),"frozenset({'Blood Operative', 'Thought Erasure'})",0.026870007262164125,0.01597676107480029,0.013071895424836602,0.4864864864864865,30.449631449631454,0.012642599738730857,1.9162557810648626
"frozenset({'Blood Operative', 'Thought Erasure'})",frozenset({'Disinformation Campaign'}),0.01597676107480029,0.026870007262164125,0.013071895424836602,0.8181818181818182,30.44963144963145,0.012642599738730857,5.352214960058099
"frozenset({'Dream Eater', 'Doom Whisperer'})",frozenset({'Disinformation Campaign'}),0.01815541031227306,0.026870007262164125,0.014524328249818447,0.8,29.772972972972976,0.0140364922428801,4.86564996368918
frozenset({'Disinformation Campaign'}),"frozenset({'Dream Eater', 'Doom Whisperer'})",0.026870007262164125,0.01815541031227306,0.014524328249818447,0.5405405405405406,29.772972972972973,0.0140364922428801,2.136955871673288
"frozenset({'Deafening Clarion', ""Tajic, Legion's Edge""})",frozenset({'Swiftblade Vindicator'}),0.03195352214960058,0.010893246187363835,0.010167029774872912,0.3181818181818182,29.209090909090907,0.009818952191543929,1.4506899055918663
frozenset({'Swiftblade Vindicator'}),"frozenset({'Deafening Clarion', ""Tajic, Legion's Edge""})",0.010893246187363835,0.03195352214960058,0.010167029774872912,0.9333333333333332,29.209090909090907,0.009818952191543929,14.520697167755971
"frozenset({'Discovery', 'Thief of Sanity'})",frozenset({'Disinformation Campaign'}),0.01815541031227306,0.026870007262164125,0.013798111837327523,0.7599999999999999,28.28432432432432,0.013310275830389177,4.054708303074315
frozenset({'Disinformation Campaign'}),"frozenset({'Discovery', 'Thief of Sanity'})",0.026870007262164125,0.01815541031227306,0.013798111837327523,0.5135135135135135,28.28432432432432,0.013310275830389177,2.018236101024772
frozenset({'Disinformation Campaign'}),"frozenset({'Thief of Sanity', 'Doom Whisperer'})",0.026870007262164125,0.02832244008714597,0.021060275962236745,0.7837837837837838,27.673596673596673,0.020299251791412926,4.49400871459695
"frozenset({'Thief of Sanity', 'Doom Whisperer'})",frozenset({'Disinformation Campaign'}),0.02832244008714597,0.026870007262164125,0.021060275962236745,0.7435897435897436,27.673596673596673,0.020299251791412926,3.79520697167756
"frozenset({'Blood Operative', 'Doom Whisperer'})",frozenset({'Disinformation Campaign'}),0.01670297748729121,0.026870007262164125,0.012345679012345678,0.7391304347826088,27.507638072855467,0.0118968698859624,3.7303316388283716
frozenset({'Disinformation Campaign'}),"frozenset({'Blood Operative', 'Doom Whisperer'})",0.026870007262164125,0.01670297748729121,0.012345679012345678,0.45945945945945943,27.507638072855464,0.0118968698859624,1.8190994916485113
"frozenset({'Aurelia, Exemplar of Justice', ""Tajic, Legion's Edge""})",frozenset({'Swiftblade Vindicator'}),0.03413217138707335,0.010893246187363835,0.010167029774872912,0.2978723404255319,27.344680851063828,0.009795219629044226,1.4087278008846635
frozenset({'Swiftblade Vindicator'}),"frozenset({'Aurelia, Exemplar of Justice', ""Tajic, Legion's Edge""})",0.010893246187363835,0.03413217138707335,0.010167029774872912,0.9333333333333332,27.344680851063828,0.009795219629044226,14.488017429193878
frozenset({'Disinformation Campaign'}),"frozenset({'Disdainful Stroke', 'Doom Whisperer'})",0.026870007262164125,0.029774872912127815,0.02178649237472767,0.8108108108108109,27.231377719182596,0.020986441323348783,5.128332814607326
"frozenset({'Disdainful Stroke', 'Doom Whisperer'})",frozenset({'Disinformation Campaign'}),0.029774872912127815,0.026870007262164125,0.02178649237472767,0.7317073170731707,27.231377719182596,0.020986441323348783,3.6271208820228424
"frozenset({'Disinformation Campaign', 'Disdainful Stroke'})",frozenset({'Blood Operative'}),0.023238925199709513,0.0196078431372549,0.012345679012345678,0.53125,27.09375,0.011890013812351375,2.0915032679738563
frozenset({'Blood Operative'}),"frozenset({'Disinformation Campaign', 'Disdainful Stroke'})",0.0196078431372549,0.023238925199709513,0.012345679012345678,0.6296296296296297,27.09375,0.011890013812351375,2.6372549019607847
"frozenset({'Disinformation Campaign', 'Doom Whisperer'})",frozenset({'Blood Operative'}),0.023965141612200435,0.0196078431372549,0.012345679012345678,0.5151515151515151,26.272727272727273,0.011875774274851552,2.0220588235294117
