,card,copies,created_by,date,deck_name,deck_type,finishing_position,tournament,url,colors,id,mana_cost,name,rarity,super_type,type
0,Adanto Vanguard,4,Alexey Shashov,2018-11-19,Boros Aggro,unknown,1st,The Decks to Beat - November '18,https://mtgdecks.net/Standard/boros-aggro-decklist-by-alexey-shashov-770627,['White'],435152,{1}{W},Adanto Vanguard,Uncommon,,Creature — Vampire Soldier
1,Benalish Marshal,4,Alexey Shashov,2018-11-19,Boros Aggro,unknown,1st,The Decks to Beat - November '18,https://mtgdecks.net/Standard/boros-aggro-decklist-by-alexey-shashov-770627,['White'],442894,{W}{W}{W},Benalish Marshal,Rare,,Creature — Human Knight
2,Dauntless Bodyguard,4,Alexey Shashov,2018-11-19,Boros Aggro,unknown,1st,The Decks to Beat - November '18,https://mtgdecks.net/Standard/boros-aggro-decklist-by-alexey-shashov-770627,['White'],442902,{W},Dauntless Bodyguard,Uncommon,,Creature — Human Knight
3,Healer's Hawk,2,Alexey Shashov,2018-11-19,Boros Aggro,unknown,1st,The Decks to Beat - November '18,https://mtgdecks.net/Standard/boros-aggro-decklist-by-alexey-shashov-770627,['White'],452764,{W},Healer's Hawk,Common,,Creature — Bird
4,Rustwing Falcon,4,Alexey Shashov,2018-11-19,Boros Aggro,unknown,1st,The Decks to Beat - November '18,https://mtgdecks.net/Standard/boros-aggro-decklist-by-alexey-shashov-770627,['White'],447172,{W},Rustwing Falcon,Common,,Creature — Bird
